Epoch #9 | Train Average MSE: 0.8617 | Test Average MSE: 0.9437
Epoch #10 | Train Average MSE: 0.8162 | Test Average MSE: 0.8860
Epoch #11 | Train Average MSE: 0.7822 | Test Average MSE: 0.8539
Epoch #12 | Train Average MSE: 0.7642 | Test Average MSE: 0.8466
Epoch #13 | Train Average MSE: 0.7822 | Test Average MSE: 0.8476
Epoch #14 | Train Average MSE: 0.7461 | Test Average MSE: 0.8321
Epoch #15 | Train Average MSE: 0.7237 | Test Average MSE: 0.7983
Epoch #16 | Train Average MSE: 0.7330 | Test Average MSE: 0.8078
Epoch #17 | Train Average MSE: 0.7303 | Test Average MSE: 0.8241
Epoch #18 | Train Average MSE: 0.6912 | Test Average MSE: 0.7713
Epoch #19 | Train Average MSE: 0.6902 | Test Average MSE: 0.7860
Epoch #20 | Train Average MSE: 0.6848 | Test Average MSE: 0.7911
Epoch #21 | Train Average MSE: 0.6550 | Test Average MSE: 0.7502
Epoch #22 | Train Average MSE: 0.6715 | Test Average MSE: 0.7694
Epoch #23 | Train Average MSE: 0.6565 | Test Average MSE: 0.7395
Epoch #24 | Train Average MSE: 0.6350 | Test Average MSE: 0.7255
Epoch #25 | Train Average MSE: 0.6262 | Test Average MSE: 0.7224
Epoch #26 | Train Average MSE: 0.5988 | Test Average MSE: 0.7075
Epoch #27 | Train Average MSE: 0.5961 | Test Average MSE: 0.7301
Epoch #28 | Train Average MSE: 0.5490 | Test Average MSE: 0.7093
Epoch #29 | Train Average MSE: 0.5261 | Test Average MSE: 0.7124
Epoch #30 | Train Average MSE: 0.5251 | Test Average MSE: 0.6783
Epoch #31 | Train Average MSE: 0.5711 | Test Average MSE: 0.6979
Epoch #32 | Train Average MSE: 0.4938 | Test Average MSE: 0.6325
Epoch #33 | Train Average MSE: 0.4861 | Test Average MSE: 0.6669
Epoch #34 | Train Average MSE: 0.4462 | Test Average MSE: 0.6413
Epoch #35 | Train Average MSE: 0.4467 | Test Average MSE: 0.6606
Epoch #36 | Train Average MSE: 0.4343 | Test Average MSE: 0.6269
Epoch #37 | Train Average MSE: 0.4469 | Test Average MSE: 0.6863
Epoch #38 | Train Average MSE: 0.4710 | Test Average MSE: 0.6574
